"id","wms_sku_id","name","image_url","codes","dimensions_mm","weight_g","picking_preset","deleted","trajectory_preset","last_modified","wms_turnover_prediction_day","wms_turnover_prediction_week","wms_turnover_prediction_month","is_pickable_only_by_hupi"
15,"944220","L'OR Elegante lungo kapsle","https://cdn.rohlik.cz/images/grocery/products/1357479/1357479-1601845798.jpg","{8711000360552,8711000360712}","{155,33,79}",84,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
24,"943635","Babička Růženka Ovocná rozkoš","https://cdn.rohlik.cz/images/grocery/products/1357039/1357039-1561103691.jpg","{5900396013002,5900396007124}","{70,130,50}",56,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
29,"944013","Bon Pari Botanicals","https://cdn.rohlik.cz/images/grocery/products/1357335/1357335-1561707475.jpg","{8593893763883,8593893763876}","{190,140,25}",94,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
60,"944724","Bear Ovocné rolované plátky jahoda 5×20g","https://cdn.rohlik.cz/images/grocery/products/1357853/1357853-1631771100695.jpg","{5060139430364,05060139430517}","{150,44,149}",140,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
34,"918669","JOJO Potěšení Jablko","https://cdn.rohlik.cz/images/grocery/products/1327835/pickingImages/1327835-1503653945.jpg","{8593893768420,8593893756410}","{42,118,158}",94,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
62,"903405","MAGGI Přidej vejce Formanská polévka","https://cdn.rohlik.cz/images/grocery/products/1297475/1297475-1504096562.jpg","{8585002436627,8585002436634}","{12,124,159}",46,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
64,"915477","Amylon BIO Cukr skořicový","https://cdn.rohlik.cz/images/grocery/products/1323235/1323235-1490617263.jpg","{8594006667104,8594006667890}","{11,68,98}",22,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
68,"917172","7Days Croissant double vanilka a pomeranč","https://cdn.rohlik.cz/images/grocery/products/1325461/1325461-1496309576.jpg","{5201360522828,15201360522825}","{48,96,187}",63,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
41,"1397173","Vitana Brokolicová do hrnečku","https://cdn.rohlik.cz/images/grocery/products/1404781/1404781-1610570987664.jpg","{8593837033560,8593837243976}","{150,85,14}",22,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
75,"1397248","Vitana Mexická s chilli do hrnečku","https://cdn.rohlik.cz/images/grocery/products/1404796/1404796-1610575179659.jpg","{8593837048304,8593837254576}","{150,85,12}",20,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
90,"928425","Knorr Snack Těstoviny se sýrovo-bylinkovou omáčkou","https://cdn.rohlik.cz/images/grocery/products/1340037/1340037-1526908712.jpg","{8584057005413,8584057005338}","{102,93,93}",72,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
89,"1474582","JOJO Kyselé rybičky","https://cdn.rohlik.cz/images/grocery/products/1420310/1420310-1648151684418.jpg","{8593893779020,8593893779037}","{195,145,30}",173,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
107,"903402","MAGGI Přidej vejce Rychtářská polévka","https://cdn.rohlik.cz/images/grocery/products/1297473/1297473-1504096617.jpg","{8585002436665,8585002436672}","{15,125,158}",40,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
85,"916557","Lagris Cizrna","https://cdn.rohlik.cz/images/grocery/products/1324655/1324655-1587029511.jpg","{18594004493122,8594004493125}","{59,91,161}",452,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
95,"948606","ARAX Fazole červená","https://cdn.rohlik.cz/images/grocery/products/1361033/1361033-1602680241.jpg","{8594159728240,8594159720077}","{160,100,55}",496,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
123,"969429","Long Chips Snack slanina","https://cdn.rohlik.cz/images/grocery/products/1377287/1377287-1588053187.jpg","{4750127300694,4750127300779}","{40,90,240}",86,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
126,"1443088","Cock Brand Červená kari pasta","https://cdn.rohlik.cz/images/grocery/products/1413981/1413981-1632736597731.jpg","{084909002198}","{4,120,165}",64,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
111,"1436828","Kosmetické tampony maxi","https://cdn.rohlik.cz/images/grocery/products/1412729/1412729-1629733774304.jpg","{3222476444042,13222476444049}","{225,70,90}",90,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
129,"937581","JOJO Zelený čaj, želé bonbóny s příchutí broskve a citrónu","https://cdn.rohlik.cz/images/grocery/products/1351563/1351563-1552546651.jpg","{8593893763944,8593893763937}","{155,118,25}",80,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
122,"928884","Knorr Instantní polévka Brokolicová s krutony","https://cdn.rohlik.cz/images/grocery/products/1340679/1340679-1528279962.jpg","{8710447826775,8712100868467}","{11,89,135}",20,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
141,"917391","Nutrend Protein pancake bez příchuti","https://cdn.rohlik.cz/images/grocery/products/1325899/1325899-1613022654678.jpg","{8594014861150,28594014861284}","{18,106,148}",54,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
195,"903762","Orion Milánská směs","https://cdn.rohlik.cz/images/grocery/products/1298219/1298219-1442929513.jpg","{8593893710597,8593893003736}","{32,120,134}",80,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
121,"907542","Vitana Do hrnečku Instantní sýrová polévka s houstičkami","https://cdn.rohlik.cz/images/grocery/products/1307347/1307347-1598298443.jpg","{8593837253678,8593837046171}","{15,82,148}",30,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
201,"909981","Kotányi Nové koření celé","https://cdn.rohlik.cz/images/grocery/products/1313211/1313211-1468937419.jpg","{8590132015505,8590132115502}","{15,102,137}",20,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
151,"910251","Corega BIO Tabs Čistící tablety na zubní náhrady","https://cdn.rohlik.cz/images/grocery/products/1314005/pickingImages/1314005-1659692703649.jpg","{8590335008724,8590335008489}","{32,101,162}",100,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
191,"931599","Ovocňák Plátky jablko a malina","https://cdn.rohlik.cz/images/grocery/products/1344569/1344569-1538393682.jpg","{8592809002719,8592809002726}","{32,80,143}",26,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
196,"933273","Bonitas BIO Kešu ořechy","https://cdn.rohlik.cz/images/grocery/products/1346945/1346945-1541663907.jpg","{8588005042475,8588005042468}","{132,72,99}",100,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
150,"1421238","Sunar BIO Kapsička jablko, jahoda a borůvka","https://cdn.rohlik.cz/images/grocery/products/1409607/1409607-1633729316776.jpeg","{8592084416027,8592084416010}","{154,78,33}",118,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
206,"915483","Amylon BIO Kypřící prášek do perníku bez lepku","https://cdn.rohlik.cz/images/grocery/products/1323241/1323241-1490619604.jpg","{8594006668262,18594006668269}","{11,67,99}",20,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
213,"900681","Vitana Do hrnečku Instantní česnečka s houstičkami","https://cdn.rohlik.cz/images/grocery/products/1287973/1287973-1598298718.jpg","{8593837244041,8593837033713}","{13,84,148}",20,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
208,"907539","Vitana Do hrnečku Instantní polévka rajská s nudlemi","https://cdn.rohlik.cz/images/grocery/products/1307345/1307345-1598298876.jpg","{8593837033676,8593837244027}","{20,82,146}",24,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
200,"909966","Kotányi Česnek granulovaný","https://cdn.rohlik.cz/images/grocery/products/1313201/1313201-1468932209.jpg","{8590132015260,8590132115267}","{140,104,12}",30,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
198,"916722","Seville Premium Olivy černé bez pecky","https://cdn.rohlik.cz/images/grocery/products/1324861/1324861-1494592137.jpg","{8410522304999,8410522001515}","{117,65,65}",406,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
203,"943338","Oyakata instantní japonská nudlová polévka s vepřovou příchutí","https://cdn.rohlik.cz/images/grocery/products/1356785/1356785-1560510606.jpg","{5901384504731,5901384504748,5901384504755}","{110,95,95}",80,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
193,"965196","Kiddylicious Křupavé rybičky malinové","https://cdn.rohlik.cz/images/grocery/products/1374203/1374203-1582914920.jpg","{5060040259207,5060040259306}","{106,110,10}",14,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
236,"906213","Figaro Doxy Roksy s ovocnými aromaty","https://cdn.rohlik.cz/images/grocery/products/1303873/1303873-1648212386001.jpg","{8585000207861,18585000207530,8585000207533}","{30,120,177}",100,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
214,"911424","Podravka original","https://cdn.rohlik.cz/images/grocery/products/1316537/1316537-1504530789.jpg","{3850104263101,3850104463105}","{32,79,153}",197,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
235,"931083","Gullón Vanilla wafer - oplatky plněné krémem, bez cukru","https://cdn.rohlik.cz/images/grocery/products/1343707/1343707-1591531707.jpg","{8410376059533,8410376058819}","{60,135,30}",58,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
217,"933276","Bonitas BIO Para ořechy","https://cdn.rohlik.cz/images/grocery/products/1346947/1346947-1541664214.jpg","{8588005042444,8588005042451}","{132,72,99}",98,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
240,"943893","Semix Lněné semínko mleté ochucené","https://cdn.rohlik.cz/images/grocery/products/1357233/1357233-1561471877.jpg","{8594019383046,8594019383053}","{190,105,25}",160,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
241,"944016","Koření od Antonína Paprika sladká maďarská","https://cdn.rohlik.cz/images/grocery/products/1357337/1357337-1561709574.jpg","{1163}","{130,86,80}",40,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
228,"944136","Dr.Oetker Droždí","https://cdn.rohlik.cz/images/grocery/products/1357417/1357417-1561981285.jpg","{8595072631365,8595072601566}","{93,61,6}",10,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
225,"945162","Mixit Oříšky z pece med a chilli","https://cdn.rohlik.cz/images/grocery/products/1358189/1358189-1620904661194.jpg","{8594172185914,8595685203164}","{70,100,100}",180,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
244,"963915","Cesar Vanička s hovězím a játry pro psy","https://cdn.rohlik.cz/images/grocery/products/1373105/1373105-1581192628.jpg","{4008429093036,4008429511110}","{101,91,33}",164,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
